Class (FINAL),Morph Class,Simplified Terrain,DEM,"Diameter, crater (m)",depth (m),depth/ Diameter,Avg Wall Slope (ř),rim h (avg),rim/D
B,NORMAL,highlands,Apollo16,51,5.9,0.12,13.7,NaN,NaN
B,NORMAL,highlands,Apollo16,49,4.2,0.09,10.6,NaN,NaN
B,NORMAL,highlands,Apollo16,76,9.5,0.12,14.2,NaN,NaN
B,NORMAL,highlands,Apollo16,58,6.4,0.11,12.6,NaN,NaN
B,NORMAL,highlands,Apollo16,60,7.5,0.12,14.8,NaN,NaN
B,NORMAL,highlands,Apollo16,57,6.1,0.11,13.5,NaN,NaN
B,NORMAL,highlands,Apollo16,83,13.7,0.17,18.4,NaN,NaN
B,NORMAL,highlands,Apollo16,56,5.8,0.1,12.7,NaN,NaN
B,NORMAL,highlands,Apollo16,55,7,0.13,14.7,NaN,NaN
B,NORMAL,highlands,Apollo16,56,6.3,0.11,12.9,NaN,NaN
B,NORMAL,highlands,Apollo16,56,5.9,0.11,13.1,NaN,NaN
B,NORMAL,highlands,Apollo16,87,8.3,0.1,12.1,NaN,NaN
B,NORMAL,highlands,Apollo16,89,12.2,0.14,16.1,NaN,NaN
B,NORMAL,highlands,Apollo16,51,6.7,0.13,14.9,NaN,NaN
B,NORMAL,highlands,Apollo16,87,12.9,0.15,16.8,NaN,NaN
B,NORMAL,highlands,Apollo16,62,7.3,0.12,14.7,NaN,NaN
B,NORMAL,highlands,Apollo16,64,6.9,0.11,13,NaN,NaN
B,NORMAL,highlands,Apollo16,64,7.9,0.12,14.5,NaN,NaN
B,NORMAL,highlands,Apollo16,80,10.7,0.13,15,NaN,NaN
B,NORMAL,highlands,Apollo16,48,4.1,0.09,10.3,NaN,NaN
B,NORMAL,highlands,Apollo16,44,4.8,0.11,12.5,NaN,NaN
B,NORMAL,highlands,Apollo16,67,11.6,0.17,19.1,NaN,NaN
B,NORMAL,highlands,Apollo16,39,4.1,0.11,12.7,NaN,NaN
B,NORMAL,highlands,Apollo16,45,4.6,0.1,11.6,NaN,NaN
B,NORMAL,highlands,Apollo16,45,6.3,0.14,15.9,NaN,NaN
B,NORMAL,highlands,Apollo16,77,9.4,0.12,15.1,NaN,NaN
B,NORMAL,highlands,Apollo16,64,7.8,0.12,15,NaN,NaN
B,NORMAL,highlands,Apollo16,53,6.8,0.13,14.7,NaN,NaN
B,NORMAL,highlands,Apollo16,60,7.4,0.12,13.9,NaN,NaN
B,NORMAL,highlands,Apollo16,63,10.1,0.16,18,NaN,NaN
B,NORMAL,highlands,Apollo16,64,6.3,0.1,12.2,NaN,NaN
B,NORMAL,highlands,Apollo16,57,8.5,0.15,16.9,NaN,NaN
B,NORMAL,highlands,Apollo16,79,11,0.14,15.9,NaN,NaN
B,NORMAL,highlands,Apollo16,53,6.3,0.12,13.4,NaN,NaN
B,NORMAL,highlands,Apollo16,190,20.8,0.11,12.5,NaN,NaN
B,NORMAL,highlands,Apollo16,49,6.6,0.14,15.4,NaN,NaN
B,NORMAL,highlands,Apollo16,49,6.6,0.13,15.3,NaN,NaN
B,NORMAL,highlands,Apollo16,47,4.7,0.1,11.4,NaN,NaN
B,NORMAL,highlands,Apollo16,76,10.8,0.14,16.3,NaN,NaN
B,NORMAL,highlands,Apollo16,65,6.1,0.09,12.8,NaN,NaN
B,NORMAL,highlands,Apollo16,62,7.4,0.12,13.8,NaN,NaN
B,NORMAL,highlands,Apollo16,52,5.5,0.11,12.2,NaN,NaN
B,NORMAL,highlands,Apollo16,39,4.7,0.12,13.7,NaN,NaN
B,NORMAL,highlands,Apollo16,60,6.9,0.11,12.9,NaN,NaN
B,NORMAL,highlands,Apollo16,45,4.9,0.11,12.8,NaN,NaN
B,NORMAL,highlands,Apollo16,47,6.2,0.13,16.3,NaN,NaN
B,NORMAL,highlands,Apollo16,48,6.9,0.14,16.5,NaN,NaN
B,NORMAL,highlands,Apollo16,56,6.2,0.11,12.6,NaN,NaN
B,NORMAL,highlands,Apollo16,46,5.9,0.13,14.3,NaN,NaN
B,NORMAL,highlands,Apollo16,47,3.5,0.07,8.8,NaN,NaN
B,NORMAL,highlands,Apollo16,58,5.1,0.09,10.7,NaN,NaN
B,NORMAL,highlands,Apollo16,55,6.6,0.12,13.9,NaN,NaN
B,NORMAL,highlands,Apollo16,47,4.7,0.1,12.4,NaN,NaN
B,NORMAL,highlands,Apollo16,64,8.3,0.13,14.5,NaN,NaN
B,NORMAL,highlands,Apollo16,180,32.5,0.18,20.3,NaN,NaN
B,NORMAL,highlands,Apollo16,93,18,0.19,21.4,NaN,NaN
B,NORMAL,highlands,Apollo16,61,7.4,0.12,15,NaN,NaN
B,NORMAL,highlands,Apollo16,71,11.6,0.16,18.2,NaN,NaN
B,NORMAL,highlands,Apollo16,114,15.5,0.14,15.3,NaN,NaN
B,NORMAL,highlands,Apollo16,56,5.6,0.1,12,NaN,NaN
B,NORMAL,highlands,Apollo16,60,7.9,0.13,14.9,NaN,NaN
B,NORMAL,highlands,Apollo16,52,4.9,0.1,11.1,NaN,NaN
B,NORMAL,highlands,Apollo16,92,12.7,0.14,16,NaN,NaN
B,NORMAL,highlands,Apollo16,119,17.8,0.15,18.4,NaN,NaN
B,NORMAL,highlands,Apollo16,183,30.1,0.16,18.7,NaN,NaN
B,NORMAL,highlands,Apollo16,63,9,0.14,16.3,NaN,NaN
B,NORMAL,highlands,Apollo16,120,19.4,0.16,18.5,NaN,NaN
B,NORMAL,highlands,Apollo16,75,9.7,0.13,14.5,NaN,NaN
B,NORMAL,highlands,Apollo16,78,8.6,0.11,13.9,NaN,NaN
B,NORMAL,highlands,Apollo16,39,5.5,0.14,15.7,NaN,NaN
B,NORMAL,highlands,Apollo16,70,13.9,0.2,22.5,NaN,NaN
B,NORMAL,highlands,Apollo16,42,5.6,0.13,15.2,NaN,NaN
B,NORMAL,highlands,Apollo16,44,5.3,0.12,14.1,NaN,NaN
B,NORMAL,highlands,Apollo16,112,12.7,0.11,13,NaN,NaN
B,NORMAL,highlands,Apollo16,56,7.8,0.14,16,NaN,NaN
B,NORMAL,highlands,Apollo16,168,20.4,0.12,13.8,NaN,NaN
B,NORMAL,highlands,Apollo16,40,4.7,0.12,14.4,NaN,NaN
B,NORMAL,highlands,Apollo16,66,7.8,0.12,14.1,NaN,NaN
B,NORMAL,highlands,Apollo16,58,7.3,0.13,15.8,NaN,NaN
B,NORMAL,highlands,Apollo16,53,6.1,0.11,13.1,NaN,NaN
B,NORMAL,highlands,Apollo16,72,8,0.11,12.8,NaN,NaN
B,NORMAL,highlands,Apollo16,66,9.4,0.14,17.2,NaN,NaN
B,NORMAL,highlands,Apollo16,102,15,0.15,17.2,NaN,NaN
B,NORMAL,highlands,Apollo16,82,10.7,0.13,15.2,NaN,NaN
B,NORMAL,highlands,Apollo16,67,7.6,0.11,13.8,NaN,NaN
B,NORMAL,highlands,Apollo16,62,10.3,0.17,19,NaN,NaN
B,NORMAL,highlands,Apollo16,93,10.9,0.12,14.8,NaN,NaN
B,NORMAL,highlands,Apollo16,76,13.7,0.18,19.9,NaN,NaN
B,NORMAL,highlands,Apollo16,62,7.4,0.12,13.3,NaN,NaN
B,NORMAL,highlands,Apollo16,64,8.4,0.13,15.6,NaN,NaN
B,NORMAL,highlands,Apollo16,71,8.6,0.12,13.8,NaN,NaN
B,NORMAL,highlands,Apollo16,85,13.5,0.16,18.4,NaN,NaN
B,NORMAL,highlands,Apollo16,65,9.8,0.15,17.7,NaN,NaN
B,NORMAL,highlands,Apollo16,60,8.8,0.15,17.5,NaN,NaN
B,NORMAL,highlands,Apollo16,66,8,0.12,14.3,NaN,NaN
B,NORMAL,highlands,Apollo16,50,6.8,0.14,15.8,NaN,NaN
B,NORMAL,highlands,Apollo16,50,6.2,0.12,15.7,NaN,NaN
B,NORMAL,highlands,Apollo16,39,4.7,0.12,13.9,NaN,NaN
B,NORMAL,ejecta,Aristarchu2,69,10.4,0.15,17.1,NaN,NaN
B,NORMAL,ejecta,Aristarchu2,109,13.7,0.13,14.5,NaN,NaN
B,NORMAL,ejecta,Aristarchu2,82,10,0.12,13.8,NaN,NaN
B,NORMAL,ejecta,Aristarchu2,66,8.7,0.13,15,NaN,NaN
B,NORMAL,ejecta,Aristarchu3,71,8.7,0.12,13.9,NaN,NaN
B,NORMAL,ejecta,Aristarchu3,63,7.7,0.12,13.8,NaN,NaN
B,NORMAL,ejecta,Aristarchu3,90,12.5,0.14,15.5,NaN,NaN
B,NORMAL,ejecta,Aristarchu4,73,8.7,0.12,13.5,NaN,NaN
B,NORMAL,ejecta,Aristarchu4,76,10.5,0.14,15.6,NaN,NaN
B,NORMAL,ejecta,Aristarchu5,95,12.6,0.13,15.2,NaN,NaN
B,NORMAL,ejecta,Aristarchu5,78,7.7,0.1,11.2,NaN,NaN
B,NORMAL,SP,Bhabha,50,5.4,0.11,12.8,NaN,NaN
B,NORMAL,SP,Bhabha,42,4.2,0.1,11.7,NaN,NaN
B,NORMAL,SP,Bhabha,62,6.6,0.11,12.3,NaN,NaN
B,NORMAL,SP,Bhabha,63,8.5,0.14,15.6,NaN,NaN
B,NORMAL,SP,Bhabha,48,5.2,0.11,12.3,NaN,NaN
B,NORMAL,SP,Bhabha,57,6.2,0.11,12.6,NaN,NaN
B,NORMAL,SP,Bhabha,55,5.9,0.11,12.5,NaN,NaN
B,NORMAL,SP,Bhabha,46,4.8,0.11,12,NaN,NaN
B,NORMAL,SP,Bhabha,45,4.3,0.1,10.9,NaN,NaN
B,NORMAL,mare,Bolyai,131,13.1,0.1,11.5,NaN,NaN
B,NORMAL,highlands,ComplexScarp,3676,741,0.2,23.1,114,0.03
B,NORMAL,ejecta,Fresh1,94,12.5,0.13,15.2,NaN,NaN
B,NORMAL,highlands,Fresh10,142,24,0.17,19.8,3,0.02
B,NORMAL,highlands,Fresh10,2324,408,0.18,20.8,58,0.02
B,NORMAL,mix,Fresh13,111,15.8,0.14,16.6,NaN,NaN
B,NORMAL,SP,Fresh13,671,118,0.18,20.6,11,0.02
B,NORMAL,highlands,Hansen,717,129,0.18,21.8,8,0.01
B,MOUND,mare,HerodotusA,10071,2131,0.21,25.9,430,0.04
B,NORMAL,mare,Hortensius5,54,6.2,0.11,13.3,NaN,NaN
B,NORMAL,mare,Hortensius5,104,10.9,0.1,12.3,NaN,NaN
B,NORMAL,mare,Hortensius5,51,5.8,0.11,13.7,NaN,NaN
B,NORMAL,mare,Hortensius5,48,6,0.12,14.3,NaN,NaN
B,NORMAL,mare,Hortensius5,97,12,0.12,14,NaN,NaN
B,NORMAL,mare,Hortensius5,59,5.9,0.1,11.7,NaN,NaN
B,NORMAL,mare,Hortensius5,65,5.3,0.08,9.4,NaN,NaN
B,NORMAL,mare,Hortensius5,73,10.5,0.14,16.4,NaN,NaN
B,NORMAL,mare,Hortensius5,77,11.1,0.14,16.3,NaN,NaN
B,NORMAL,mare,Hortensius5,62,9.5,0.15,17.5,NaN,NaN
B,NORMAL,mare,Hortensius5,71,8.8,0.12,14.6,NaN,NaN
B,NORMAL,mare,Hortensius5,105,14.6,0.14,16.5,NaN,NaN
B,NORMAL,mare,Hortensius5,63,7.6,0.12,14,NaN,NaN
B,NORMAL,mare,Hortensius5,67,9.4,0.14,16.3,NaN,NaN
B,NORMAL,mare,Hortensius5,58,7.9,0.14,15.2,NaN,NaN
B,NORMAL,mare,Hortensius5,125,18.3,0.15,16.4,NaN,NaN
B,NORMAL,mare,Hortensius5,119,16.5,0.14,15.6,NaN,NaN
B,NORMAL,mare,Hortensius5,66,9.2,0.14,15.9,NaN,NaN
B,NORMAL,mare,Hortensius5,45,4.2,0.09,11,NaN,NaN
B,NORMAL,mare,Hortensius5,67,8.2,0.12,14.1,NaN,NaN
B,NORMAL,mare,Hortensius5,45,6.7,0.15,16.9,NaN,NaN
B,NORMAL,mare,Hortensius5,94,10.9,0.12,13.8,NaN,NaN
B,NORMAL,mare,Hortensius5,80,10.6,0.13,14.8,NaN,NaN
B,NORMAL,mare,Hortensius5,49,6.1,0.12,14.2,NaN,NaN
B,NORMAL,mare,Hortensius5,175,29,0.17,18.4,NaN,NaN
B,NORMAL,mare,Hortensius5,49,8.4,0.17,19.6,NaN,NaN
B,NORMAL,mare,Imbrium2,1908,369,0.19,24,51,0.03
B,NORMAL,mare,JeansU,110,10.5,0.1,12.1,NaN,NaN
B,NORMAL,mare,JeansU,1266,250,0.2,24.3,28,0.02
B,FLAT,impact_melt,KingCrater,442,54,0.12,15.4,8,0.02
B,NORMAL,mix,LacusOblivionis,706,159,0.23,25.1,20,0.03
B,NORMAL,silicic,Lassell,208,25.6,0.12,13.9,NaN,NaN
B,NORMAL,silicic,Lassell,2398,460,0.19,21.6,NaN,NaN
B,NORMAL,mare,Luna24,54,5.3,0.1,12,NaN,NaN
B,NORMAL,mare,Luna24,50,4.5,0.09,10.5,NaN,NaN
B,NORMAL,mare,Luna24,56,5.7,0.1,12.3,NaN,NaN
B,NORMAL,mare,Luna24,45,5.4,0.12,13.8,NaN,NaN
B,NORMAL,mare,Luna24,75,8.6,0.11,13.1,NaN,NaN
B,NORMAL,mare,Luna24,50,5.4,0.11,12.6,NaN,NaN
B,NORMAL,mare,Luna24,81,10,0.12,14.5,NaN,NaN
B,NORMAL,mare,Luna24,78,7,0.09,10.3,NaN,NaN
B,NORMAL,mare,Luna24,43,4.9,0.11,13.3,NaN,NaN
B,NORMAL,mare,Luna24,51,3.7,0.07,8.5,NaN,NaN
B,NORMAL,mare,Luna24,51,5.9,0.12,13.5,NaN,NaN
B,FLAT,mare,Luna24,56,6.4,0.11,13.5,NaN,NaN
B,NORMAL,mare,Luna24,70,7.1,0.1,11.7,NaN,NaN
B,NORMAL,mare,Luna24,67,6,0.09,10.6,NaN,NaN
B,NORMAL,mare,Luna24,59,8.3,0.14,17,NaN,NaN
B,NORMAL,mare,Luna24,51,5.8,0.11,13.1,NaN,NaN
B,NORMAL,mare,Luna24,67,6.4,0.09,11.3,NaN,NaN
B,NORMAL,mare,Luna24,74,7.3,0.1,11.3,NaN,NaN
B,NORMAL,mare,Luna24,59,8.2,0.14,15.6,NaN,NaN
B,NORMAL,mare,Luna24,76,8.1,0.11,12.2,NaN,NaN
B,NORMAL,mare,Luna24,50,6,0.12,13.7,NaN,NaN
B,NORMAL,mare,Luna24,87,9,0.1,12.1,NaN,NaN
B,NORMAL,mare,Luna24,56,5.5,0.1,11.8,NaN,NaN
B,NORMAL,mare,Luna24,68,7.1,0.1,12,NaN,NaN
B,NORMAL,mare,Luna24,66,7.3,0.11,13.4,NaN,NaN
B,NORMAL,mare,Luna24,68,6.7,0.1,11.3,NaN,NaN
B,NORMAL,mare,Luna24,97,10.7,0.11,12.8,NaN,NaN
B,NORMAL,mare,Luna24,69,6.5,0.09,10.9,NaN,NaN
B,NORMAL,mare,Luna24,62,7.2,0.12,13.4,NaN,NaN
B,NORMAL,mare,Luna24,55,5.4,0.1,11.2,NaN,NaN
B,NORMAL,mare,Luna24,84,9.3,0.11,12.5,NaN,NaN
B,NORMAL,mare,Luna24,76,10.6,0.14,15.6,NaN,NaN
B,NORMAL,mare,Luna24,65,6.7,0.1,11.8,NaN,NaN
B,NORMAL,mare,Luna24,51,5.2,0.1,11.9,NaN,NaN
B,NORMAL,mare,Luna24,107,10.8,0.1,11.8,NaN,NaN
B,NORMAL,mare,Luna24,92,11.6,0.13,14.9,NaN,NaN
B,NORMAL,mare,Luna24,59,5.9,0.1,11.2,NaN,NaN
B,NORMAL,mare,Luna24,70,8.1,0.12,13,NaN,NaN
B,NORMAL,mare,Luna24,49,5.7,0.12,14,NaN,NaN
B,NORMAL,mare,Luna24,64,7.8,0.12,14.1,NaN,NaN
B,NORMAL,mare,Luna24,67,6.4,0.1,11.2,NaN,NaN
B,NORMAL,mare,Luna24,87,7.3,0.08,9.6,NaN,NaN
B,NORMAL,mare,Luna24,50,5.8,0.12,13.5,NaN,NaN
B,NORMAL,mare,Luna24,57,7.7,0.14,15.1,NaN,NaN
B,NORMAL,mare,Luna24,48,4.1,0.08,9.8,NaN,NaN
B,NORMAL,mare,Luna24,52,4.4,0.08,9.7,NaN,NaN
B,NORMAL,mare,Luna24,67,7.7,0.12,13.1,NaN,NaN
B,NORMAL,mare,Luna24,43,5.6,0.13,14.6,NaN,NaN
B,NORMAL,mare,Luna24,60,6.1,0.1,11.6,NaN,NaN
B,NORMAL,mare,Luna24,52,6.7,0.13,14.9,NaN,NaN
B,NORMAL,mare,Luna24,58,5,0.09,9.9,NaN,NaN
B,NORMAL,mare,Luna24,56,5.5,0.1,11.3,NaN,NaN
B,NORMAL,mare,Luna24,67,5.5,0.08,9.3,NaN,NaN
B,NORMAL,mare,Luna24,72,6.9,0.1,11.1,NaN,NaN
B,NORMAL,mare,Luna24,69,7.1,0.1,11.8,NaN,NaN
B,NORMAL,mare,Luna24,68,7.7,0.11,13.8,NaN,NaN
B,NORMAL,mare,Luna24,84,6.8,0.08,9.9,NaN,NaN
B,NORMAL,mare,Luna24,51,5.5,0.11,13.3,NaN,NaN
B,NORMAL,mare,Luna24,50,6.2,0.12,14.5,NaN,NaN
B,NORMAL,mare,Luna24,50,5.1,0.1,11.8,NaN,NaN
B,NORMAL,mare,Luna24,43,4.1,0.1,10.8,NaN,NaN
B,NORMAL,mare,Luna24,77,8.7,0.11,12.8,NaN,NaN
B,NORMAL,mare,Luna24,50,5,0.1,11.3,NaN,NaN
B,NORMAL,mare,Luna24,97,8.2,0.08,9.8,NaN,NaN
B,NORMAL,mare,Luna24,46,5,0.11,12.2,NaN,NaN
B,NORMAL,mare,Luna24,63,5.3,0.08,9.7,NaN,NaN
B,NORMAL,mare,Luna24,82,9.4,0.11,13,NaN,NaN
B,NORMAL,mare,Luna24,47,5.5,0.12,13.5,NaN,NaN
B,NORMAL,mare,Luna24,88,12.5,0.14,16.1,NaN,NaN
B,NORMAL,mare,Luna24,53,6.1,0.11,13.5,NaN,NaN
B,NORMAL,mare,Luna24,49,5.1,0.1,12.2,NaN,NaN
B,NORMAL,mare,Luna24,58,5.4,0.09,10.9,NaN,NaN
B,NORMAL,mare,Luna24,45,6.2,0.14,15.8,NaN,NaN
B,NORMAL,mare,Luna24,69,7.9,0.11,13.9,NaN,NaN
B,NORMAL,mare,Luna24,80,7.8,0.1,11.3,NaN,NaN
B,NORMAL,mare,Luna24,59,6.5,0.11,12.7,NaN,NaN
B,NORMAL,mare,Luna24,67,6.9,0.1,11.9,NaN,NaN
B,NORMAL,mare,Luna24,48,5,0.1,12,NaN,NaN
B,NORMAL,mare,Luna24,68,7.5,0.11,13.1,NaN,NaN
B,NORMAL,mare,Luna24,79,6.4,0.08,9.3,NaN,NaN
B,NORMAL,mare,Luna24,46,4,0.09,10.1,NaN,NaN
B,NORMAL,mare,Luna24,59,7.2,0.12,13.9,NaN,NaN
B,NORMAL,mare,Luna24,564,88,0.16,19.7,14,0.02
B,NORMAL,mare,MairanT,803,132,0.16,20,15,0.02
B,NORMAL,mare,Marius3,41,4.6,0.11,13,NaN,NaN
B,NORMAL,mare,Marius3,39,4.8,0.12,13.9,NaN,NaN
B,NORMAL,mare,Marius3,57,6.6,0.12,13.4,NaN,NaN
B,NORMAL,mare,Marius3,112,17,0.15,17.2,NaN,NaN
B,NORMAL,mare,Marius3,47,6.5,0.14,15.5,NaN,NaN
B,NORMAL,mare,Marius3,51,4.8,0.09,10.9,NaN,NaN
B,NORMAL,mare,Marius4,62,9.1,0.15,16.6,NaN,NaN
B,NORMAL,mare,Marius4,79,10.9,0.14,16.3,NaN,NaN
B,NORMAL,mare,Marius4,45,4.7,0.1,11.8,NaN,NaN
B,NORMAL,mare,Marius4,64,7.6,0.12,13.8,NaN,NaN
B,NORMAL,mare,Marius4,41,5.4,0.13,15.7,NaN,NaN
B,NORMAL,mare,Marius4,57,5.8,0.1,11.7,NaN,NaN
B,NORMAL,mare,Marius4,60,7.5,0.13,14.1,NaN,NaN
B,NORMAL,mare,Marius4,42,5.4,0.13,14.6,NaN,NaN
B,NORMAL,mare,Marius4,50,6.5,0.13,14.6,NaN,NaN
B,NORMAL,mare,Marius4,50,6.3,0.13,14.8,NaN,NaN
B,NORMAL,mare,Marius4,66,10.1,0.15,17.2,NaN,NaN
B,NORMAL,mare,Marius4,53,6.5,0.12,14.1,NaN,NaN
B,NORMAL,mare,Marius4,45,6.2,0.14,15.7,NaN,NaN
B,NORMAL,mare,Marius4,40,5,0.13,14.1,NaN,NaN
B,NORMAL,mare,Marius4,45,4.9,0.11,12.2,NaN,NaN
B,NORMAL,mare,Marius4,53,6,0.11,12.9,NaN,NaN
B,NORMAL,mare,Marius4,78,10.5,0.13,15,NaN,NaN
B,NORMAL,mare,Marius4,50,6.6,0.13,15.5,NaN,NaN
B,NORMAL,mare,Marius4,41,5.1,0.12,14.5,NaN,NaN
B,NORMAL,mare,Marius4,43,4.1,0.1,11.2,NaN,NaN
B,NORMAL,mare,Marius4,46,4.9,0.11,12.5,NaN,NaN
B,NORMAL,mare,Marius4,65,6.6,0.1,11.5,NaN,NaN
B,NORMAL,highlands,MeltPond,1727,328,0.19,22.6,28,0.02
B,NORMAL,mix,Moscoviense1,1930,446,0.23,28.5,NaN,NaN
B,NORMAL,SP,Orientale1,62,7.2,0.12,13.3,NaN,NaN
B,NORMAL,SP,Orientale1,56,7.4,0.13,14.9,NaN,NaN
B,NORMAL,SP,Orientale1,56,9.7,0.17,20.3,NaN,NaN
B,NORMAL,SP,Orientale1,42,4.8,0.11,13.9,NaN,NaN
B,NORMAL,SP,Orientale1,56,7.1,0.13,15.5,NaN,NaN
B,NORMAL,mix,PetaviusB,358,62,0.17,20.4,7,0.02
B,NORMAL,mare,Ranger,63,8.5,0.13,15.9,NaN,NaN
B,NORMAL,mare,Ranger,48,4.3,0.09,10.3,NaN,NaN
B,NORMAL,mare,Ranger,51,3.9,0.08,9,NaN,NaN
B,NORMAL,mare,Ranger,53,6.1,0.11,13.1,NaN,NaN
B,NORMAL,mare,Ranger,59,5,0.08,9.7,NaN,NaN
B,NORMAL,mare,Ranger,60,6.6,0.11,12.7,NaN,NaN
B,NORMAL,mare,Reiner2,39,3.2,0.08,9.8,NaN,NaN
B,NORMAL,mare,Reiner2,47,4.4,0.09,11.4,NaN,NaN
B,NORMAL,mare,Reiner2,60,8.2,0.14,15.3,NaN,NaN
B,NORMAL,mare,Reiner2,46,5.9,0.13,15.1,NaN,NaN
B,NORMAL,mare,Reiner3,84,10.4,0.12,14.7,NaN,NaN
B,NORMAL,mare,Reiner3,86,9,0.1,11.9,NaN,NaN
B,NORMAL,mare,Reiner3,39,4.1,0.11,12.5,NaN,NaN
B,NORMAL,mare,Reiner3,41,3.7,0.09,10.4,NaN,NaN
B,NORMAL,mare,Reiner3,41,2.6,0.06,7.6,NaN,NaN
B,NORMAL,mare,Reiner3,74,10.2,0.14,16.7,NaN,NaN
B,NORMAL,mare,Reiner3,46,4,0.09,9.8,NaN,NaN
B,NORMAL,mare,Reiner3,46,3.9,0.09,9.8,NaN,NaN
B,NORMAL,mare,Reiner3,50,6.2,0.12,15.2,NaN,NaN
B,NORMAL,mare,Reiner3,50,3.4,0.07,8.1,NaN,NaN
B,NORMAL,mare,Reiner3,48,6.5,0.14,15.5,NaN,NaN
B,NORMAL,mare,Reiner3,48,3.2,0.07,8,NaN,NaN
B,NORMAL,mare,Reiner3,70,10.8,0.15,17.2,NaN,NaN
B,NORMAL,mare,Reiner4,40,4.6,0.11,12.8,NaN,NaN
B,NORMAL,mare,Reiner4,40,5,0.13,14.6,NaN,NaN
B,NORMAL,mare,Reiner4,40,4,0.1,11.4,NaN,NaN
B,NORMAL,mare,Reiner4,47,5.2,0.11,12.5,NaN,NaN
B,NORMAL,mare,Reiner4,41,3.9,0.1,10.9,NaN,NaN
B,NORMAL,mare,Reiner4,42,4.3,0.1,11.8,NaN,NaN
B,NORMAL,mare,Reiner4,44,4.3,0.1,11.2,NaN,NaN
B,NORMAL,mare,Reiner4,111,13.2,0.12,13.9,NaN,NaN
B,NORMAL,mare,Reiner4,51,6.8,0.13,14.8,NaN,NaN
B,NORMAL,mare,Reiner4,62,9.2,0.15,17,NaN,NaN
B,NORMAL,mare,Reiner4,60,4.6,0.08,9.3,NaN,NaN
B,NORMAL,mare,Reiner4,40,4.4,0.11,12.4,NaN,NaN
B,NORMAL,mare,Reiner4,246,39.3,0.16,18.2,NaN,NaN
B,NORMAL,mare,Reiner4,40,3.9,0.1,12.1,NaN,NaN
B,NORMAL,mare,Reiner4,42,4.3,0.1,11.8,NaN,NaN
B,NORMAL,mare,Reiner4,134,13.6,0.1,11.6,NaN,NaN
B,NORMAL,mare,Reiner4,47,5.2,0.11,12.6,NaN,NaN
B,NORMAL,mare,ReinerMos,1130,206,0.18,20.9,19,0.02
B,NORMAL,mare,RumkerDomes4,400,70,0.18,19.1,NaN,NaN
