Class (FINAL),Morph Class,Simplified Terrain,DEM,"Diameter, crater (m)",depth (m),depth/ Diameter,Avg Wall Slope (ř),rim h (avg),rim/D
B,NORMAL,highlands,SPArim2,121,19.4,0.16,18.1,NaN,NaN
B,NORMAL,highlands,SPArim3,43,3.9,0.09,10.3,NaN,NaN
B,NORMAL,highlands,SPArim3,131,18.8,0.14,16.7,NaN,NaN
B,NORMAL,highlands,SPArim3,99,12.7,0.13,15.2,NaN,NaN
B,NORMAL,highlands,SPArim3,45,4.6,0.1,12,NaN,NaN
B,NORMAL,highlands,SPArim3,102,12.5,0.12,14.5,NaN,NaN
B,NORMAL,highlands,SPArim3,79,10.9,0.14,15.7,NaN,NaN
B,NORMAL,highlands,SPArim4,56,6.7,0.12,14.1,NaN,NaN
B,NORMAL,highlands,SPArim4,51,4.9,0.1,11.5,NaN,NaN
B,NORMAL,highlands,SPArim4,60,6.4,0.11,12.3,NaN,NaN
B,NORMAL,mare,Sosigenes,621,98,0.16,18.9,7,0.01
B,NORMAL,ejecta,TychoRim,194,27,0.14,17.1,NaN,NaN
B,NORMAL,ejecta,TychoRim,63,11,0.17,20.1,NaN,NaN
B,NORMAL,ejecta,TychoRim,74,6,0.08,10.9,NaN,NaN
B,NORMAL,ejecta,TychoRim,61,6,0.1,11,NaN,NaN
B,NORMAL,ejecta,TychoRim,111,13,0.12,14.3,NaN,NaN
B,NORMAL,ejecta,TychoRim,479,71,0.15,19.2,NaN,NaN
B,NORMAL,ejecta,TychoRim,95,16,0.17,18.8,NaN,NaN
B,NORMAL,ejecta,TychoRim,223,43,0.19,21.8,NaN,NaN
B,NORMAL,ejecta,TychoRim,68,6,0.09,12.1,NaN,NaN
B,NORMAL,ejecta,TychoRim,119,17,0.14,17,4,0.03
B,NORMAL,ejecta,TychoRim,56,7,0.12,15.2,NaN,NaN
B,NORMAL,ejecta,TychoRim,93,14,0.15,17.4,NaN,NaN
B,NORMAL,impact_melt,TychoRim,94,15,0.16,18.6,2,0.02
B,NORMAL,ejecta,TychoSE,85,11.3,0.13,15.1,NaN,NaN
B,NORMAL,ejecta,TychoSE,59,7.8,0.13,15.4,NaN,NaN
B,NORMAL,ejecta,TychoSE,148,16.9,0.11,15.6,NaN,NaN
B,NORMAL,ejecta,TychoSE,122,13.3,0.11,12.5,NaN,NaN
B,NORMAL,ejecta,TychoSE,76,8.2,0.11,12.5,NaN,NaN
B,NORMAL,ejecta,TychoSE,81,9.1,0.11,13.8,NaN,NaN
B,NORMAL,impact_melt,TychoSE,57,8.8,0.15,17.7,NaN,NaN
B,NORMAL,ejecta,TychoSE,138,18.2,0.13,15.7,NaN,NaN
B,NORMAL,ejecta,TychoSE,134,22.7,0.17,18.7,NaN,NaN
B,NORMAL,ejecta,TychoSE,122,27.3,0.22,24.2,NaN,NaN
B,NORMAL,ejecta,TychoSE,126,16.2,0.13,14.9,NaN,NaN
B,NORMAL,impact_melt,TychoSE,80,7.3,0.09,10.5,NaN,NaN
B,NORMAL,ejecta,TychoSE,96,11.5,0.12,13.7,NaN,NaN
B,NORMAL,pyro,VitelloR,3425,704,0.21,24.9,123,0.04
B,NORMAL,ejecta,Whale,190,26.3,0.14,15.8,NaN,NaN
B,NORMAL,ejecta,Whale,123,14.8,0.12,13.6,NaN,NaN
C,NORMAL,highlands,Apollo16,61,4.7,0.08,11.8,NaN,NaN
C,NORMAL,highlands,Apollo16,558,51.3,0.09,10.6,NaN,NaN
C,NORMAL,highlands,Apollo16,145,13,0.09,10.2,NaN,NaN
C,NORMAL,highlands,Apollo16,558,52.8,0.09,10.9,NaN,NaN
C,NORMAL,highlands,Apollo16,473,35.1,0.07,8.7,NaN,NaN
C,NORMAL,highlands,Apollo16,281,34.6,0.12,13.9,NaN,NaN
C,NORMAL,highlands,Apollo16,101,13.5,0.13,15.1,NaN,NaN
C,NORMAL,highlands,Apollo16,459,63.4,0.14,15.9,NaN,NaN
C,NORMAL,highlands,Apollo16,55,4.9,0.09,10.8,NaN,NaN
C,NORMAL,highlands,Apollo16,202,18.5,0.09,10.9,NaN,NaN
C,NORMAL,highlands,Apollo16,234,24.9,0.11,12.1,NaN,NaN
C,NORMAL,highlands,Apollo16,389,22,0.06,6.9,NaN,NaN
C,NORMAL,highlands,Apollo16,107,12.6,0.12,13.6,NaN,NaN
C,NORMAL,highlands,Apollo16,144,18.6,0.13,14.6,NaN,NaN
C,NORMAL,highlands,Apollo16,117,14.3,0.12,14.2,NaN,NaN
C,NORMAL,highlands,Apollo16,124,17.3,0.14,15.8,NaN,NaN
C,NORMAL,highlands,Apollo16,160,18.4,0.11,13.4,NaN,NaN
C,NORMAL,highlands,Apollo16,76,5.6,0.07,12.4,NaN,NaN
C,NORMAL,highlands,Apollo16,221,20.1,0.09,10.9,NaN,NaN
C,NORMAL,highlands,Apollo16,112,12.5,0.11,12.8,NaN,NaN
C,NORMAL,highlands,Apollo16,54,4.1,0.08,9.7,NaN,NaN
C,NORMAL,highlands,Apollo16,145,11.2,0.08,10.6,NaN,NaN
C,NORMAL,highlands,Apollo16,58,5.5,0.09,11.8,NaN,NaN
C,NORMAL,highlands,Apollo16,129,16.5,0.13,14.9,NaN,NaN
C,NORMAL,highlands,Apollo16,88,11,0.12,14,NaN,NaN
C,NORMAL,highlands,Apollo16,337,39.9,0.12,14,NaN,NaN
C,NORMAL,highlands,Apollo16,110,11.6,0.11,13.7,NaN,NaN
C,NORMAL,highlands,Apollo16,161,11.1,0.07,7.9,NaN,NaN
C,NORMAL,highlands,Apollo16,85,10.9,0.13,14.8,NaN,NaN
C,NORMAL,highlands,Apollo16,260,26.7,0.1,11.7,NaN,NaN
C,NORMAL,highlands,Apollo16,328,42.7,0.13,14.6,NaN,NaN
C,NORMAL,highlands,Apollo16,192,13.5,0.07,8.3,NaN,NaN
C,NORMAL,highlands,Apollo16,136,10.3,0.08,9.1,NaN,NaN
C,NORMAL,highlands,Apollo16,191,21.5,0.11,13.4,NaN,NaN
C,NORMAL,highlands,Apollo16,105,11.3,0.11,12.4,NaN,NaN
C,NORMAL,highlands,Apollo16,309,26,0.08,9.6,NaN,NaN
C,NORMAL,highlands,Apollo16,407,52.5,0.13,14.6,NaN,NaN
C,NORMAL,highlands,Apollo16,222,17.4,0.08,8.9,NaN,NaN
C,NORMAL,highlands,Apollo16,243,28.5,0.12,13.2,NaN,NaN
C,NORMAL,highlands,Apollo16,188,18.7,0.1,11.5,NaN,NaN
C,NORMAL,highlands,Apollo16,127,10.4,0.08,9.4,NaN,NaN
C,NORMAL,highlands,Apollo16,178,11.7,0.07,7.8,NaN,NaN
C,NORMAL,highlands,Apollo16,353,20.1,0.06,6.6,NaN,NaN
C,NORMAL,highlands,Apollo16,127,11.3,0.09,10.2,NaN,NaN
C,NORMAL,highlands,Apollo16,124,8.9,0.07,8.9,NaN,NaN
C,NORMAL,highlands,Apollo16,102,11.7,0.11,13.4,NaN,NaN
C,NORMAL,highlands,Apollo16,175,17.3,0.1,11.3,NaN,NaN
C,NORMAL,highlands,Apollo16,209,20.6,0.1,11.2,NaN,NaN
C,NORMAL,highlands,Apollo16,144,16.7,0.12,13.5,NaN,NaN
C,NORMAL,highlands,Apollo16,251,21.3,0.08,9.8,NaN,NaN
C,NORMAL,highlands,Apollo16,136,13.3,0.1,11.5,NaN,NaN
C,NORMAL,highlands,Apollo16,155,11.4,0.07,8.7,NaN,NaN
C,NORMAL,highlands,Apollo16,172,12.1,0.07,8.3,NaN,NaN
C,NORMAL,highlands,Apollo16,155,15.5,0.1,11.7,NaN,NaN
C,NORMAL,highlands,Apollo16,177,14.7,0.08,9.5,NaN,NaN
C,NORMAL,highlands,Apollo16,314,33,0.1,11.9,NaN,NaN
C,NORMAL,mare,Hortensius5,116,14.8,0.13,14.9,NaN,NaN
C,NORMAL,mare,Hortensius5,55,4.7,0.08,9.8,NaN,NaN
C,NORMAL,mare,Hortensius5,126,17,0.14,15.4,NaN,NaN
C,NORMAL,mare,JeansU,85,10,0.12,13.5,NaN,NaN
C,NORMAL,highlands,NewCrater2,392,47,0.12,15.2,10,0.02
C,NORMAL,highlands,Pasteur,1219,91,0.07,11.6,NaN,NaN
C,NORMAL,mix,SeismicLander,3461,577,0.17,20.3,78,0.02
A,NORMAL,mare,Apollo15,42,3.7,0.09,10.1,NaN,NaN
A,NORMAL,mare,Apollo15,41,5.6,0.14,16.7,1,NaN
A,NORMAL,highlands,Apollo16_1,67,9.7,0.15,16.5,NaN,NaN
A,NORMAL,highlands,Apollo16_1,53,7.4,0.14,16.1,NaN,NaN
A,FLAT,highlands,APOLLO16_1,164,24,0.15,19.2,8,0.05
AA,FLAT,highlands,APOLLO16_1,695,129,0.19,22.8,23,0.03
AA,NORMAL,highlands,APOLLO16_2,116,22,0.19,20.2,NaN,NaN
AA,NORMAL,highlands,APOLLO16_2,162,27,0.17,19.7,8,0.05
A,NORMAL,pyro,AristPyro/RIMSCHRODGR,292,58,0.2,22.2,7,0.02
A,NORMAL,ejecta,Aristarchu2,48,5.3,0.11,12.9,NaN,NaN
A,NORMAL,ejecta,Aristarchu3,53,6.9,0.13,14.7,NaN,NaN
AA,NORMAL,pyro,Atlas1,113,18,0.16,18,3,0.03
A,NORMAL,SP,Bhabha,73,9.7,0.13,14.9,NaN,NaN
A,NORMAL,SP,Bhabha,68,7.9,0.12,13.1,NaN,NaN
A,NORMAL,mare,BirtVent,184,31,0.17,19.4,4,0.02
A,FLAT,mare,BirtVent,312,43,0.14,19,7,0.02
AA,NORMAL,highlands,DollandB,117,15,0.13,15.9,4,0.03
A,POND,mare,DorsumNicol,622,135,0.22,25.5,19,0.03
A,POND,highlands,Dufay_mosaic,274,49,0.18,20,12,0.04
AA,POND,highlands,FRESH1,2581,605,0.23,28,81,0.03
A,POND,SP,Fresh10,3454,701,0.2,24.1,131,0.04
AA,POND,SP,Fresh13,936,179,0.19,23.2,39,0.04
AA,POND,mare,Fresh14,1746,315,0.18,23.1,63,0.04
A,POND,highlands,Fresh15,694,142,0.2,23.2,24,0.03
AA,POND,mix,Fresh16,1547,371,0.24,28.4,22,0.01
A,POND,highlands,Fresh18,2065,450,0.22,27.7,86,0.04
A,FLAT,highlands,FRESH3,290,48,0.17,20.7,8,0.03
AA,POND,highlands,FreshCraterVolumeCalc,1723,412,0.24,28.9,106,0.06
AA,NORMAL,SP,FRSHCRATER4,1151,210,0.18,22.6,34,0.03
AA,POND,mix,FRSHCRATER5,466,91,0.2,24.1,8,0.02
A,FLAT,mix,Gruithuise1,198,24.7,0.12,14.7,NaN,NaN
A,NORMAL,mare,Hortensius5,66,6.2,0.09,11.4,NaN,NaN
A,NORMAL,impact_melt,Hponds_mosaic,150,25,0.17,20.6,5,0.04
A,NORMAL,mare,InaCaldera1,82,12.8,0.16,17.6,NaN,NaN
A,NORMAL,mix,InaCaldera1,41,7.1,0.17,19.1,NaN,NaN
A,FLAT,mare,JeansU,203,32.1,0.16,17.8,NaN,NaN
A,MOUND,mare,KaguyaTC,2103,495,0.24,25.9,73,0.03
AA,POND,mare,KaguyaTC,503,98,0.19,23.3,10,0.02
AA,MOUND,mare,KaguyaTC,2922,717,0.25,26.8,135,0.05
AA,POND,mare,KaguyaTC,3575,822,0.23,26.7,167,0.05
A,POND,mare,KaguyaTC,3052,649,0.21,26.4,127,0.04
AA,MOUND,mare,KaguyaTC,691,137,0.2,23.8,21,0.03
AA,FLAT,mare,KaguyaTC,753,135,0.18,21.9,19,0.03
A,FLAT,mare,KaguyaTC,924,172,0.19,18.8,17,0.02
A,POND,SP,KaguyaTC,5262,1184,0.23,21.1,175,0.03
A,POND,SP,KaguyaTC,1097,236,0.22,21.6,43,0.04
AA,POND,SP,KaguyaTC,1569,332,0.21,23.8,69,0.04
AA,POND,highlands,KaguyaTC,1951,494,0.25,27.6,82,0.04
AA,NORMAL,SP,KaguyaTC,530,99,0.19,22.4,11,0.02
A,NORMAL,highlands,KaguyaTC,577,95,0.16,19.9,34,0.06
AA,NORMAL,highlands,KaguyaTC,722,155,0.21,23.6,30,0.04
AA,POND,highlands,KaguyaTC,873,214,0.25,25.5,39,0.04
A,POND,highlands,KaguyaTC,3060,660,0.22,25.5,114,0.04
AA,POND,SP,KaguyaTC,816,150,0.18,21,36,0.04
AA,POND,mare,KaguyaTC,1822,404,0.22,26.6,72,0.04
AA,POND,mare,KaguyaTC,1962,377,0.19,24.3,65,0.03
A,FLAT,mare,Lichtenberg_mosaic,213,38.2,0.18,19.9,NaN,NaN
AA,FLAT,mare,LINNECRATER,2214,521,0.24,27.3,95,0.04
A,MOUND,mare,Luna24,77,11.5,0.15,17.3,NaN,NaN
A,FLAT,Pyro,MareNubium,791,160,0.2,23.4,20,0.03
A,NORMAL,mare,Marius3,44,3.9,0.09,10.4,NaN,NaN
AA,POND,mix,Melty_Fresh,3076,500,0.16,24.8,131,0.04
A,NORMAL,highlands,NEWCRATER2_riccius,149,29,0.19,22.3,4,0.02
A,MOUND,mare,Ranger,60,7,0.12,13.6,NaN,NaN
A,MOUND,mare,Ranger,44,4.6,0.1,11.9,NaN,NaN
A,NORMAL,mare,Ranger,55,6.3,0.12,13.8,NaN,NaN
A,NORMAL,mare,Ranger,55,5.1,0.09,10.8,NaN,NaN
A,MOUND,mare,Ranger,41,5.6,0.14,19.3,NaN,NaN
A,NORMAL,mare,Ranger,51,6.4,0.12,14.3,NaN,NaN
A,NORMAL,mare,Ranger,43,5.8,0.14,17.5,NaN,NaN
A,MOUND,mare,Ranger,63,8.3,0.13,15.7,NaN,NaN
A,NORMAL,mare,Reiner2,46,5.1,0.11,14,NaN,NaN
AA,FLAT,mare,Reiner2,109,14.7,0.13,15.2,NaN,NaN
A,MOUND,mare,Reiner2,43,4.1,0.09,10.8,NaN,NaN
A,FLAT,mare,Reiner3,59,8.4,0.14,16.3,NaN,NaN
A,NORMAL,mare,Reiner3,46,6.1,0.13,14.8,NaN,NaN
A,NORMAL,mare,Reiner3,61,7.1,0.12,13.6,NaN,NaN
AA,POND,mix,SFcrater_1,7498,1667,0.22,21.6,NaN,NaN
A,NORMAL,highlands,SPArim2,44,4.2,0.1,10.9,NaN,NaN
A,NORMAL,highlands,SPArim3,43,5.4,0.13,14.2,NaN,NaN
A,NORMAL,highlands,SPArim4,84,11.7,0.14,15.9,NaN,NaN
A,POND,mix,Small_crater_2.5km,2251,445,0.2,25.1,NaN,NaN
A,NORMAL,ejecta,TychoRim,113,15,0.13,16.6,NaN,NaN
A,NORMAL,ejecta,TychoRim,102,20,0.19,22.9,NaN,NaN
A,NORMAL,ejecta,TychoSE,92,16.2,0.18,20,NaN,NaN
A,NORMAL,ejecta,TychoSE,104,14.6,0.14,17.8,NaN,NaN
A,NORMAL,highlands,VirtanenGrabenM182/VIRTANEN3,462,90,0.19,22.4,NaN,NaN
AA,NORMAL,mix,Whale,119,20,0.17,19.6,7,0.06
AA,NORMAL,mix,Whale,167,32,0.19,22.2,NaN,NaN
A,NORMAL,highlands,MorozovEScarp,120,18.4,0.15,20.1,NaN,NaN
A,NORMAL,highlands,NectarisRim_I_mosaic,84,12.4,0.15,16.8,NaN,NaN
B,NORMAL,highlands,ChapelleT,278,40,0.14,16.4,NaN,NaN
B,NORMAL,mare,HardingH,261,40.3,0.15,17.9,NaN,NaN
B,MOUND,highlands,HendersonScarp,228,27.3,0.12,14.8,NaN,NaN
B,NORMAL,highlands,HendersonScarp,233,31.6,0.14,15.7,NaN,NaN
B,MOUND,highlands,HendersonScarp,365,43.1,0.12,14.5,NaN,NaN
B,NORMAL,ejecta,LarmorQ_mosaic,260,50.3,0.19,21.2,NaN,NaN
B,NORMAL,highlands,MorozovEScarp,225,30.3,0.13,15.8,NaN,NaN
B,NORMAL,highlands,NectarisRim_I_mosaic,341,50.2,0.15,17.1,NaN,NaN
B,NORMAL,highlands,Rosseland2,263,41.7,0.16,17.8,NaN,NaN
AB,NORMAL,highlands,ChapelleT,145,24.4,0.17,18.7,NaN,NaN
AB,NORMAL,ejecta,CopernGrab,108,24.3,0.23,24.4,NaN,NaN
AB,NORMAL,ejecta,CopernGrab,215,36.8,0.17,19,NaN,NaN
AB,NORMAL,ejecta,CopernGrab,123,15.9,0.13,15,NaN,NaN
AB,NORMAL,ejecta,CopernGrab,290,57,0.2,21.5,NaN,NaN
AB,NORMAL,ejecta,CopernGrab,110,18.5,0.17,19.1,NaN,NaN
AB,NORMAL,ejecta,CopernGrab,233,44.6,0.19,21.4,NaN,NaN
AB,NORMAL,ejecta,CopernGrab,140,15.3,0.11,12.7,NaN,NaN
AB,MOUND,highlands,Feoktistov,133,20.5,0.15,17.3,NaN,NaN
AB,NORMAL,highlands,FowlerScarp,49,5,0.1,11.8,NaN,NaN
AB,NORMAL,SP,FowlerScarp,96,11.4,0.12,14.3,NaN,NaN
AB,NORMAL,SP,FowlerScarp,83,10.8,0.13,14.8,NaN,NaN
AB,NORMAL,SP,FowlerScarp,39,5,0.13,14.6,NaN,NaN
AB,NORMAL,highlands,Fraunhofre,104,14,0.13,15.7,NaN,NaN
AB,NORMAL,ejecta,GLUSHKO2,138,24.4,0.18,20.7,NaN,NaN
AB,NORMAL,ejecta,GLUSHKO2,215,39.8,0.19,20.5,NaN,NaN
AB,NORMAL,ejecta,GLUSHKO2,125,19.3,0.15,17.3,NaN,NaN
AB,NORMAL,ejecta,GLUSHKO2,153,31.4,0.21,22.5,NaN,NaN
AB,NORMAL,impact_melt,GLUSHKO2,268,38,0.14,16.1,NaN,NaN
AB,NORMAL,impact_melt,GLUSHKO2,103,11.7,0.11,12.8,NaN,NaN
AB,NORMAL,ejecta,GLUSHKO2,125,20.1,0.16,18.4,NaN,NaN
AB,NORMAL,ejecta,GLUSHKO2,155,31.1,0.2,22.2,NaN,NaN
AB,NORMAL,ejecta,GLUSHKO2,103,12.7,0.12,15.6,NaN,NaN
AB,NORMAL,ejecta,Gluskho1,310,57.2,0.18,20.3,NaN,NaN
AB,NORMAL,ejecta,Gluskho1,133,16.4,0.12,14.2,NaN,NaN
AB,NORMAL,ejecta,Gluskho1,125,15.5,0.12,13.9,NaN,NaN
AB,NORMAL,ejecta,Gluskho1,305,52.5,0.17,19.3,NaN,NaN
AB,NORMAL,ejecta,Gluskho1,235,42,0.18,20.4,NaN,NaN
AB,MOUND,ejecta,Gluskho1,125,18.6,0.15,16.5,NaN,NaN
AB,NORMAL,mare,HardingH,263,36.3,0.14,15.7,NaN,NaN
AB,NORMAL,highlands,HendersonScarp,238,39.2,0.16,18.7,NaN,NaN
AB,NORMAL,highlands,HendersonScarp,185,26.4,0.14,16.9,NaN,NaN
AB,MOUND,highlands,HendersonScarp,118,13.9,0.12,14.1,NaN,NaN
AB,NORMAL,highlands,HighlandsPhotometry,200,33,0.17,18.5,NaN,NaN
AB,MOUND,highlands,HighlandsPhotometry,255,42.6,0.17,18.9,NaN,NaN
AB,NORMAL,impact_melt,ImpactMelt2,80,11.7,0.15,16.6,NaN,NaN
AB,NORMAL,impact_melt,ImpactMelt2,62,9.9,0.16,18.3,NaN,NaN
AB,NORMAL,impact_melt,ImpactMelt2,56,7.7,0.14,15.6,NaN,NaN
AB,NORMAL,impact_melt,ImpactMelt2,60,10.3,0.17,19.6,NaN,NaN
AB,NORMAL,highlands,Karrer_mosaic,89,13.3,0.15,16.6,NaN,NaN
AB,NORMAL,impact_melt,KingCrater_mosaic,145,19.3,0.13,15.1,NaN,NaN
AB,NORMAL,impact_melt,KingCrater_mosaic,73,4.4,0.06,7.2,NaN,NaN
AB,MOUND,impact_melt,KingCrater_mosaic,534,81.8,0.15,17.7,NaN,NaN
AB,NORMAL,impact_melt,KingCrater_mosaic,194,25.8,0.13,16,NaN,NaN
AB,NORMAL,impact_melt,KingCrater_mosaic,75,4.8,0.06,8,NaN,NaN
AB,FLAT,highlands,LADEE1,115,15,0.13,15.3,NaN,NaN
AB,NORMAL,highlands,LADEE1,175,27.6,0.16,17.5,NaN,NaN
AB,NORMAL,ejecta,LADEE1,535,117.7,0.22,24.1,NaN,NaN
AB,NORMAL,highlands,LADEE1,130,20.3,0.16,17.5,NaN,NaN
AB,FLAT,ejecta,LarmorQ_mosaic,175,19.7,0.11,12.8,NaN,NaN
AB,NORMAL,ejecta,LarmorQ_mosaic,130,20.7,0.16,17.7,NaN,NaN
AB,NORMAL,ejecta,LarmorQ_mosaic,108,18.6,0.17,19.3,NaN,NaN
AB,MOUND,mare,MareExplorer,118,7.4,0.06,7.2,NaN,NaN
AB,FLAT,mare,MareExplorer,190,20,0.11,12.1,NaN,NaN
AB,FLAT,mare,MareExplorer,133,11.5,0.09,9.8,NaN,NaN
AB,MOUND,mare,MareExplorer,208,26.4,0.13,14.7,NaN,NaN
AB,MOUND,mare,MareExplorer,168,16.1,0.1,11.1,NaN,NaN
AB,MOUND,mare,MareExplorer,208,29.2,0.14,15.8,NaN,NaN
AB,FLAT,mare,MareExplorer,190,21.1,0.11,12.6,NaN,NaN
AB,MOUND,mare,MareIngenii_mosaic,185,26.7,0.14,16.8,NaN,NaN
AB,NORMAL,mare,MareIngenii_mosaic,199,33.8,0.17,18.7,NaN,NaN
AB,NORMAL,mare,MareIngenii_mosaic,163,23,0.14,15.8,NaN,NaN
AB,NORMAL,highlands,Maurolycus,204,40,0.2,21.5,NaN,NaN
AB,NORMAL,highlands,Maurolycus,65,8.3,0.13,15.4,NaN,NaN
AB,NORMAL,highlands,MorozovEScarp,130,18.4,0.14,16.2,NaN,NaN
AB,NORMAL,ejecta,NearLents,56,7,0.13,14.4,NaN,NaN
AB,NORMAL,ejecta,NearLents,62,11.5,0.19,20.5,NaN,NaN
AB,NORMAL,ejecta,NearLents,68,10.3,0.15,17.5,NaN,NaN
AB,NORMAL,ejecta,Necho1,218,38.9,0.18,19.8,NaN,NaN
AB,NORMAL,ejecta,Necho1,150,22.3,0.15,16.6,NaN,NaN
AB,NORMAL,ejecta,Necho1,133,20,0.15,15.9,NaN,NaN
AB,NORMAL,ejecta,Necho2,135,20.6,0.15,17.5,NaN,NaN
AB,NORMAL,ejecta,Necho2,403,79.2,0.2,22.4,NaN,NaN
AB,NORMAL,ejecta,Necho2,198,27.4,0.14,16.2,NaN,NaN
AB,NORMAL,highlands,NectarisRim_I_mosaic,138,26,0.19,20.6,NaN,NaN
AB,NORMAL,highlands,NectarisRim_I_mosaic,162,29.6,0.18,20.3,NaN,NaN
AB,NORMAL,highlands,NectarisRim_I_mosaic,98,15.9,0.16,18.1,NaN,NaN
AB,NORMAL,highlands,NectarisRim_I_mosaic,104,17.8,0.17,18.9,NaN,NaN
AB,NORMAL,highlands,NectarisRim_I_mosaic,126,22.7,0.18,19.7,NaN,NaN
AB,NORMAL,highlands,NectarisRim_I_mosaic,146,22.3,0.15,17.3,NaN,NaN
AB,NORMAL,highlands,NectarisRim_I_mosaic,93,11.6,0.12,14,NaN,NaN
AB,NORMAL,highlands,OppenhiemerF,139,21.3,0.15,17.3,NaN,NaN
AB,NORMAL,highlands,OppenhiemerF,127,20.1,0.16,18.3,NaN,NaN
AB,NORMAL,impact_melt,Surveyor7,73,10.7,0.15,16.7,NaN,NaN
AB,NORMAL,ejecta,Surveyor7,111,17.5,0.16,18.6,NaN,NaN
AB,NORMAL,ejecta,Surveyor7,73,11.4,0.16,18.5,NaN,NaN
AB,NORMAL,highlands,WeirdCrater,98,15.6,0.16,17.7,NaN,NaN
AB,NORMAL,highlands,WeirdCrater,65,8.5,0.13,15.9,NaN,NaN
AB,NORMAL,highlands,WeirdCrater,58,6.9,0.12,13.9,NaN,NaN
AB,NORMAL,ejecta,WienerF_mosaic,75,11.8,0.16,17.4,NaN,NaN
AB,NORMAL,ejecta,WienerF_mosaic,135,20.4,0.15,17.3,NaN,NaN
AB,NORMAL,ejecta,WienerF_mosaic,46,4.7,0.1,12.3,NaN,NaN
AB,NORMAL,ejecta,WienerF_mosaic,62,7.8,0.13,14.3,NaN,NaN
AB,NORMAL,ejecta,WienerF_mosaic,39,4.2,0.11,12.3,NaN,NaN
AB,NORMAL,ejecta,WienerF_mosaic,64,9.5,0.15,17,NaN,NaN
